Well,Sample.Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Tm1
E12,Gblock,ACTIN,1.456,Amp,UNKNOWN,18.513,18.513,-,108962.586,108962.586,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,14,FALSE,79.40794373
G3,Gblock,ACTIN,1.505,Amp,UNKNOWN,17.079,17.079,-,273824,273824,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,11,FALSE,79.66066742
G3,Gblock,ACTIN,1.48,Amp,STANDARD,16.559,16.559,-,1,0,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,12,FALSE,79.50498962
E2,Gblock,ACTIN,1.478,Amp,STANDARD,17.072,17.072,-,1,0,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,12,FALSE,79.44502258
F12,No Sample,ACTIN,0,No Amp,NTC,Undetermined,-,-,-,0,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,39,TRUE,90.94132233
G6,No Sample,ACTIN,0,No Amp,NTC,Undetermined,-,-,-,0,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,39,TRUE,69.72183228
E4,No Sample,ACTIN,0,No Amp,NTC,Undetermined,-,-,-,0,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,39,TRUE,76.01208496
C2,1,BQCV,1.306,Amp,UNKNOWN,28.434,28.8,0.518,71.037,57.278,19.459,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,25,FALSE,79.00577545
D2,1,BQCV,1.298,Amp,UNKNOWN,29.167,28.8,0.518,43.519,57.278,19.459,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,26,FALSE,79.15560913
C1,2,BQCV,1.176,Amp,UNKNOWN,26.467,26.327,0.198,264.811,292.122,38.623,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,23,FALSE,79.26277924
D1,2,BQCV,1.227,Amp,UNKNOWN,26.187,26.327,0.198,319.433,292.122,38.623,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,23,FALSE,79.21286774
